id_competitor,price,airline,id_flight
74,7164,757,407927509
32,7189,757,407927509
28,7189,757,407927509
20,7234,757,407927509
90,7270,757,407927509
360,11050,243,407929419
32,11162,243,407929419
63,11295,243,407929419
90,11298,243,407929419
27,11430,243,407929419
74,11439,243,407929419
106,11558,243,407929419
5,11566,243,407929419
107,11763,243,407929419
20,12287,243,407929419
33,18540,243,407929419
110,8865,163,407929427
74,8985,163,407929427
90,9087,163,407929427
27,9261,163,407929427
32,9398,163,407929427
28,9399,163,407929427
106,9419,163,407929427
5,9510,163,407929427
63,9552,163,407929427
20,9596,163,407929427
81,13720,163,407929427
107,17912,163,407929427
110,7365,163,407929429
74,7485,163,407929429
90,7531,163,407929429
27,7705,163,407929429
63,7837,163,407929429
28,7839,163,407929429
32,7842,163,407929429
106,7860,163,407929429
5,7951,163,407929429
20,8038,163,407929429
81,13720,163,407929429
107,17912,163,407929429
110,11115,163,407929431
74,11235,163,407929431
90,11419,163,407929431
27,11599,163,407929431
32,11738,163,407929431
28,11738,163,407929431
106,11756,163,407929431
5,11847,163,407929431
20,11933,163,407929431
63,11944,163,407929431
81,16120,163,407929431
107,20456,163,407929431
90,10972,757,407929433
74,10996,757,407929433
63,10996,757,407929433
363,11404,757,407929433
106,11446,757,407929433
32,11454,757,407929433
28,11528,757,407929433
92,11544,757,407929433
20,11602,757,407929433
27,12312,757,407929433
5,12328,757,407929433
33,18103,757,407929433
74,10996,757,407929435
63,10996,757,407929435
363,11404,757,407929435
106,11446,757,407929435
32,11454,757,407929435
90,11468,757,407929435
28,11528,757,407929435
92,11544,757,407929435
20,11602,757,407929435
27,12312,757,407929435
5,12328,757,407929435
33,18103,757,407929435
74,10996,757,407929437
63,10996,757,407929437
363,11404,757,407929437
106,11446,757,407929437
32,11454,757,407929437
90,11468,757,407929437
28,11528,757,407929437
92,11544,757,407929437
20,11602,757,407929437
27,12312,757,407929437
5,12328,757,407929437
33,18103,757,407929437
74,10996,757,407929439
63,10996,757,407929439
363,11404,757,407929439
106,11446,757,407929439
32,11454,757,407929439
90,11468,757,407929439
28,11528,757,407929439
92,11544,757,407929439
20,11602,757,407929439
27,12312,757,407929439
5,12328,757,407929439
33,18103,757,407929439
360,17625,243,407929496
63,18030,243,407929496
32,18112,243,407929496
90,18124,243,407929496
74,18242,243,407929496
106,18428,243,407929496
5,18480,243,407929496
20,19361,243,407929496
107,19593,243,407929496
363,18507,757,407929500
63,18597,757,407929500
74,18819,757,407929500
32,18850,757,407929500
106,18891,757,407929500
90,18934,757,407929500
20,19091,757,407929500
5,20199,757,407929500
5,50640,1030,407929504
20,51625,1030,407929504
90,51857,1030,407929504
360,20040,243,407930138
90,20402,243,407930138
32,20503,243,407930138
74,20752,243,407930138
63,20924,243,407930138
106,20975,243,407930138
5,21068,243,407930138
107,21334,243,407930138
20,22194,243,407930138
360,20040,243,407930140
90,20402,243,407930140
32,20503,243,407930140
74,20752,243,407930140
63,20924,243,407930140
106,20975,243,407930140
5,21068,243,407930140
107,21334,243,407930140
20,22194,243,407930140
360,21840,243,407930142
32,22158,243,407930142
90,22272,243,407930142
74,22609,243,407930142
63,22796,243,407930142
106,22846,243,407930142
5,22938,243,407930142
20,24047,243,407930142
107,25150,243,407930142
360,21840,243,407930144
32,22158,243,407930144
90,22272,243,407930144
74,22609,243,407930144
63,22796,243,407930144
106,22846,243,407930144
5,22938,243,407930144
20,24047,243,407930144
107,25150,243,407930144
28,15390,532,407930798
74,15403,532,407930798
183,15460,532,407930798
92,15505,532,407930798
90,15518,532,407930798
27,15768,532,407930798
32,15814,532,407930798
5,15817,532,407930798
106,15967,532,407930798
20,15981,532,407930798
63,16070,532,407930798
6,16130,532,407930798
363,16742,532,407930798
183,11060,802,407930947
24,11060,802,407930947
32,11292,802,407930947
90,11316,802,407930947
63,11318,802,407930947
74,11461,802,407930947
27,11640,802,407930947
5,11706,802,407930947
20,11725,802,407930947
33,11765,802,407930947
360,10210,243,407930949
32,10447,243,407930949
90,10501,243,407930949
63,10503,243,407930949
27,10536,243,407930949
74,10612,243,407930949
5,10640,243,407930949
106,10647,243,407930949
107,10847,243,407930949
20,10950,243,407930949
33,10957,243,407930949
183,9948,757,407931051
363,10048,757,407931051
63,10196,757,407931051
90,10356,757,407931051
74,10358,757,407931051
106,10368,757,407931051
32,10371,757,407931051
20,10452,757,407931051
5,10791,757,407931051
27,10824,757,407931051
219,3298,533,407932450
90,3345,533,407932450
63,3372,533,407932450
74,3446,533,407932450
5,3531,533,407932450
33,3629,533,407932450
74,5960,802,407933125
24,5960,802,407933125
90,6122,802,407933125
32,6122,802,407933125
28,6148,802,407933125
63,6150,802,407933125
92,6154,802,407933125
27,6416,802,407933125
20,6476,802,407933125
5,6480,802,407933125
33,6567,802,407933125
106,7408,802,407933125
185,5013,13,407933665
106,5300,13,407933665
32,5651,13,407933665
90,5784,13,407933665
63,5786,13,407933665
20,5907,13,407933665
183,5950,91,13,407933665
74,6209,13,407933665
27,6264,13,407933665
60,6391,13,407933665
107,6401,13,407933665
5,6825,13,407933665
185,5013,13,407933667
106,5300,13,407933667
32,5651,13,407933667
90,5784,13,407933667
63,5786,13,407933667
20,5907,13,407933667
183,5950,91,13,407933667
74,6209,13,407933667
27,6264,13,407933667
60,6391,13,407933667
107,6401,13,407933667
5,6825,13,407933667
24,8400,802,407935047
63,8583,802,407935047
32,8623,802,407935047
28,8752,802,407935047
92,8761,802,407935047
90,9121,802,407935047
20,9208,802,407935047
33,9286,802,407935047
27,9675,802,407935047
5,9861,802,407935047
90,50255,109,407935788
63,50698,109,407935788
74,50755,109,407935788
32,50902,109,407935788
20,51157,109,407935788
15,51534,109,407935788
107,51752,109,407935788
28,51804,109,407935788
106,52027,109,407935788
60,52726,109,407935788
33,61731,109,407935788
74,10326,532,407936285
90,10398,532,407936285
27,10466,532,407936285
63,10468,532,407936285
5,10486,532,407936285
106,10638,532,407936285
32,10686,532,407936285
20,10933,532,407936285
185,5013,13,407937276
106,5300,13,407937276
32,5651,13,407937276
90,5784,13,407937276
63,5786,13,407937276
20,5907,13,407937276
74,6209,13,407937276
27,6264,13,407937276
60,6391,13,407937276
107,6401,13,407937276
5,6825,13,407937276
185,5013,13,407937278
106,5300,13,407937278
32,5651,13,407937278
90,5784,13,407937278
63,5786,13,407937278
20,5907,13,407937278
74,6209,13,407937278
27,6264,13,407937278
60,6391,13,407937278
107,6401,13,407937278
5,6825,13,407937278
363,14480,757,407937624
74,14723,757,407937624
32,14758,757,407937624
106,14786,757,407937624
90,14806,757,407937624
28,14848,757,407937624
92,14870,757,407937624
20,15422,757,407937624
5,16896,757,407937624
27,16928,757,407937624
360,10495,243,407938692
32,10720,243,407938692
63,10800,243,407938692
90,10802,243,407938692
27,10834,243,407938692
5,10940,243,407938692
74,10949,243,407938692
106,11146,243,407938692
33,11262,243,407938692
20,11295,243,407938692
24,9785,802,407938694
90,10016,802,407938694
32,10032,802,407938694
28,10048,802,407938694
92,10076,802,407938694
63,10090,802,407938694
74,10161,802,407938694
27,10336,802,407938694
5,10417,802,407938694
20,10452,802,407938694
33,10668,802,407938694
106,11524,802,407938694
369,27600,459,407938818
74,28288,459,407938818
63,28318,459,407938818
5,28360,459,407938818
20,28497,459,407938818
32,28945,459,407938818
2,76998,828,72,407939108
32,77677,72,407939108
90,79368,72,407939108
20,79407,72,407939108
74,79503,72,407939108
63,79940,72,407939108
33,81276,72,407939108
106,81528,72,407939108
28,82036,72,407939108
92,82076,72,407939108
6,82842,72,407939108
60,85506,72,407939108
90,71560,532,407939195
20,73178,532,407939195
63,73320,532,407939195
32,73568,532,407939195
60,77139,532,407939195
74,13229,532,407939630
90,13402,532,407939630
28,13456,532,407939630
92,13554,532,407939630
63,13592,532,407939630
106,13700,532,407939630
32,13748,532,407939630
20,13837,532,407939630
60,14751,532,407939630
63,72500,276,407939881
90,72600,276,407939881
27,72678,276,407939881
74,72707,276,407939881
28,72918,276,407939881
32,73843,276,407939881
92,73952,276,407939881
20,74002,276,407939881
5,75206,276,407939881
106,75650,276,407939881
63,71128,276,407939883
28,72538,276,407939883
32,72561,276,407939883
92,72682,276,407939883
74,72803,276,407939883
27,72918,276,407939883
20,73443,276,407939883
106,73606,276,407939883
90,73864,276,407939883
5,75392,276,407939883
20,15052,488,407940528
218,15419,488,407940528
71,15452,488,407940528
27,15546,488,407940528
90,15558,488,407940528
5,15654,488,407940528
63,15670,488,407940528
74,15672,488,407940528
28,15698,488,407940528
363,15750,488,407940528
32,15807,488,407940528
106,16715,488,407940528
110,15310,163,407940530
27,15892,163,407940530
90,15898,163,407940530
74,16003,163,407940530
28,16012,163,407940530
32,16044,163,407940530
5,16082,163,407940530
20,16120,163,407940530
218,16138,163,407940530
63,16338,163,407940530
363,16867,163,407940530
106,17102,163,407940530
81,17370,163,407940530
218,12714,532,407940544
28,13012,532,407940544
92,13116,532,407940544
90,13154,532,407940544
74,13155,532,407940544
63,13220,532,407940544
27,13354,532,407940544
5,13404,532,407940544
32,13409,532,407940544
106,13516,532,407940544
20,13578,532,407940544
363,14430,532,407940544
63,12998,757,407940559
363,13258,757,407940559
106,13528,757,407940559
74,13533,757,407940559
28,13578,757,407940559
92,13592,757,407940559
20,13623,757,407940559
5,13960,757,407940559
90,13968,757,407940559
27,14024,757,407940559
218,14036,757,407940559
90,46372,757,407940658
32,47255,757,407940658
106,47436,757,407940658
28,47592,757,407940658
92,47680,757,407940658
5,49160,757,407940658
20,49258,757,407940658
27,49384,757,407940658
24,4456,802,407941446
63,4509,802,407941446
90,4606,802,407941446
32,4608,802,407941446
92,4624,802,407941446
28,4626,802,407941446
74,4639,802,407941446
27,4686,802,407941446
5,4718,802,407941446
33,4737,802,407941446
60,4947,802,407941446
106,5305,802,407941446
106,26340,243,407941833
360,26860,243,407941833
32,27344,243,407941833
5,27910,243,407941833
63,27956,243,407941833
90,27986,243,407941833
74,27987,243,407941833
20,28136,243,407941833
6,28184,243,407941833
107,28496,243,407941833
110,49770,163,407941837
5,51794,163,407941837
90,51836,163,407941837
28,51838,163,407941837
32,51866,163,407941837
74,51881,163,407941837
20,51905,163,407941837
106,52904,163,407941837
63,53318,163,407941837
6,53390,163,407941837
63,48444,109,407941928
74,48500,109,407941928
20,48907,109,407941928
90,49010,109,407941928
15,49334,109,407941928
32,49339,109,407941928
28,49516,109,407941928
107,49620,109,407941928
106,49750,109,407941928
60,50455,109,407941928
33,59051,109,407941928
110,25996,163,407942194
28,27088,163,407942194
90,27363,163,407942194
106,27517,163,407942194
74,27644,163,407942194
5,27728,163,407942194
20,27781,163,407942194
63,28410,163,407942194
183,28494,757,407942883
63,29205,757,407942883
90,29553,757,407942883
74,29566,757,407942883
106,29654,757,407942883
20,30841,757,407942883
5,30951,757,407942883
27,31056,757,407942883
183,29994,757,407942887
63,30744,757,407942887
90,31108,757,407942887
32,31151,757,407942887
106,31214,757,407942887
74,31229,757,407942887
20,32447,757,407942887
5,32511,757,407942887
27,32631,757,407942887
183,31494,757,407942891
63,32280,757,407942891
74,32689,757,407942891
106,32774,757,407942891
5,34068,757,407942891
90,34084,757,407942891
27,34203,757,407942891
183,32994,757,407942895
63,33819,757,407942895
32,34248,757,407942895
106,34334,757,407942895
74,34352,757,407942895
90,35010,757,407942895
5,35628,757,407942895
27,35778,757,407942895
183,35640,532,407942901
123,35703,532,407942901
74,35738,532,407942901
90,35911,532,407942901
32,36061,532,407942901
5,36603,532,407942901
27,36615,532,407942901
63,36618,532,407942901
106,36640,532,407942901
106,38828,532,407942913
32,39174,532,407942913
27,40326,532,407942913
90,40402,532,407942913
5,40413,532,407942913
63,38739,243,407942915
106,38936,243,407942915
32,39105,243,407942915
27,40362,243,407942915
90,40399,243,407942915
5,40599,243,407942915
63,36615,238,407943094
106,36682,238,407943094
32,36690,238,407943094
27,37845,238,407943094
90,37846,238,407943094
24,3220,802,407945212
74,3228,802,407945212
63,3284,802,407945212
32,3330,802,407945212
90,3332,802,407945212
